id_nip;operadora;id_cmpt;id_comp;sg_uf;cd_munic;tema;subtema;modal;cd_porte;contr;classi;nat_nip
1;343889;202201;202209;AL;270020;01;17;04;G;01;06;01
2;343889;202201;202209;MG;317020;01;09;04;G;02;06;01
3;343889;202201;202209;MG;311860;02;09;04;G;02;06;02
4;343889;202201;202209;MG;314070;01;09;04;G;05;06;01
5;343889;202201;202209;MG;310620;01;21;04;G;02;06;01
6;343889;202201;202209;MG;315780;01;24;04;G;02;06;01
7;343889;202201;202209;MG;310620;02;02;04;G;05;05;02
8;343889;202201;202209;MG;315180;02;09;04;G;02;06;02
9;343889;202201;202209;MG;310620;01;17;04;G;01;04;01
10;343889;202201;202209;MG;310620;02;14;04;G;05;06;02
11;343889;202201;202209;ES;320520;01;22;04;G;01;06;01
12;343889;202201;202209;MG;314590;01;24;04;G;01;06;01
13;343889;202201;202209;MG;313670;01;09;04;G;02;06;01
14;343889;202201;202209;MG;310620;01;21;04;G;01;06;01
15;343889;202201;202209;MG;310620;02;25;04;G;01;06;02
16;343889;202201;202209;MG;310620;01;17;04;G;01;06;01
17;343889;202201;202209;ES;320500;01;09;04;G;01;06;01
18;343889;202201;202209;RJ;330170;01;24;04;G;01;06;01
19;343889;202201;202209;MG;316720;01;09;04;G;02;01;01
20;343889;202201;202209;MG;310620;01;21;04;G;01;06;01
21;343889;202201;202209;MG;310670;01;09;04;G;01;06;01
22;343889;202201;202209;MG;310620;01;21;04;G;01;06;01
23;343889;202201;202209;AC;120001;01;09;04;G;01;06;01
24;343889;202201;202209;MG;310620;02;25;04;G;05;03;02
25;343889;202201;202209;MG;310620;01;09;04;G;01;06;01
26;343889;202201;202209;MG;310620;02;16;04;G;05;06;02
27;343889;202201;202209;MG;315780;01;17;04;G;01;06;01
28;343889;202201;202209;MG;314800;01;22;04;G;02;06;01
29;343889;202201;202209;MG;310620;01;17;04;G;01;06;01
30;343889;202201;202209;MG;310620;01;09;04;G;02;06;01
31;343889;202201;202209;MG;310620;02;16;04;G;01;01;02
32;343889;202201;202209;MG;310620;01;09;04;G;01;06;01
33;343889;202201;202209;MG;310620;01;17;04;G;01;06;01
34;343889;202201;202209;MG;310620;01;09;04;G;01;06;01
35;343889;202201;202209;MG;310620;01;17;04;G;05;06;01
36;343889;202201;202209;MG;310620;01;09;04;G;02;06;01
37;343889;202201;202209;MG;311860;02;09;04;G;05;06;02
38;343889;202201;202209;DF;530010;01;09;04;G;01;06;01
39;343889;202201;202209;MA;211130;01;17;04;G;01;06;01
40;343889;202201;202209;MG;310620;01;17;04;G;01;06;01
41;343889;202201;202209;MG;310620;01;01;04;G;05;06;01
42;343889;202201;202209;MG;310620;02;14;04;G;01;04;02
43;343889;202201;202209;MG;310620;01;17;04;G;01;06;01
44;343889;202201;202209;MG;310620;01;17;04;G;05;06;01
45;343889;202201;202209;MG;311860;01;01;04;G;01;06;01
46;343889;202201;202209;MG;315780;01;01;04;G;01;06;01
47;343889;202201;202209;MG;310670;01;17;04;G;01;06;01
48;343889;202201;202209;MG;312090;01;17;04;G;02;04;01
49;343889;202201;202209;MG;310670;03;13;04;G;05;06;02
50;343889;202201;202209;ES;320520;01;09;04;G;02;06;01
51;343889;202201;202209;MG;315780;02;09;04;G;05;06;02
52;343889;202201;202209;MG;316292;01;21;04;G;01;06;01
53;343889;202201;202209;MG;310620;01;09;04;G;02;05;01
54;343889;202201;202209;MG;310620;01;17;04;G;01;06;01
55;343889;202201;202209;MG;310620;03;13;04;G;05;06;02
56;343889;202201;202209;MG;310620;01;21;04;G;01;06;01
57;343889;202201;202209;MG;311860;01;17;04;G;02;04;01
58;343889;202201;202209;MG;311860;02;09;04;G;02;06;02
59;343889;202201;202209;MG;311940;01;09;04;G;05;06;01
60;343889;202201;202209;MG;310620;01;24;04;G;02;06;01
61;343889;202201;202209;MG;310620;01;24;04;G;01;06;01
62;343889;202201;202209;MG;314590;01;22;04;G;01;03;01
63;343889;202201;202209;MG;311860;02;16;04;G;05;06;02
64;343889;202201;202209;MG;310620;01;21;04;G;01;06;01
65;343889;202201;202209;MG;311860;01;09;04;G;01;06;01
66;343889;202201;202209;MG;313130;01;24;04;G;02;06;01
67;343889;202201;202209;MG;314590;01;24;04;G;01;04;01
68;343889;202201;202209;MG;316720;01;09;04;G;05;06;01
69;343889;202201;202209;MG;310620;01;09;04;G;05;06;01
70;343889;202201;202209;MG;310620;02;25;04;G;05;06;02
71;343889;202201;202209;MG;310620;01;09;04;G;01;06;01
72;343889;202201;202209;MG;310620;01;17;04;G;01;06;01
73;343889;202201;202209;MG;310620;01;21;04;G;01;06;01
74;343889;202201;202209;MG;313670;01;22;04;G;02;06;01
75;343889;202201;202209;MG;315460;01;09;04;G;01;06;01
76;343889;202201;202209;MG;313120;01;09;04;G;01;06;01
77;343889;202201;202209;MG;310620;01;21;04;G;05;06;01
78;343889;202201;202209;MG;310620;01;17;04;G;10;06;01
79;343889;202201;202209;MG;310620;01;22;04;G;01;04;01
80;343889;202201;202209;SP;350650;01;24;04;G;01;06;01
81;343889;202201;202209;MG;310740;01;09;04;G;02;06;01
82;343889;202201;202209;MG;316250;01;17;04;G;02;03;01
83;343889;202201;202209;MG;310620;01;17;04;G;01;06;01
84;343889;202201;202209;MG;310620;02;09;04;G;05;03;02
85;343889;202201;202209;MG;310620;01;09;04;G;02;06;01
86;343889;202201;202209;MG;310670;01;09;04;G;01;06;01
87;343889;202201;202209;MG;310620;01;17;04;G;05;06;01
88;343889;202201;202209;MG;310620;01;21;04;G;01;06;01
89;343889;202201;202209;MG;310620;01;17;04;G;01;06;01
90;343889;202201;202209;MG;310620;01;24;04;G;02;03;01
91;343889;202201;202209;MG;310620;03;20;04;G;05;04;02
92;343889;202201;202209;MG;310620;01;21;04;G;01;04;01
93;343889;202201;202209;MG;314610;01;09;04;G;02;03;01
94;343889;202201;202209;MG;310350;01;21;04;G;05;06;01
95;343889;202201;202209;MG;310620;01;17;04;G;02;03;01
96;343889;202201;202209;MG;310900;01;09;04;G;01;06;01
97;343889;202201;202209;MG;310620;02;09;04;G;01;04;02
98;343889;202201;202209;MG;310620;01;09;04;G;05;06;01
99;343889;202201;202209;MG;315780;01;17;04;G;05;06;01
100;343889;202201;202209;MG;315460;01;09;04;G;01;06;01
101;343889;202201;202209;PA;150140;01;09;04;G;01;06;01
102;343889;202201;202209;MG;310620;01;09;04;G;02;01;01
103;343889;202201;202209;MG;310620;01;17;04;G;02;06;01
104;343889;202201;202209;MG;315180;01;24;04;G;02;04;01
105;343889;202201;202209;MG;310620;01;17;04;G;01;06;01
106;343889;202201;202209;MG;310620;02;14;04;G;01;06;02
107;343889;202201;202209;MG;317020;01;22;04;G;02;03;01
108;343889;202201;202209;AM;130010;03;13;04;G;05;03;02
109;343889;202201;202209;MG;310620;03;13;04;G;05;06;02
110;343889;202201;202209;MG;311860;01;01;04;G;05;04;01
111;343889;202201;202209;MG;311860;01;09;04;G;01;06;01
